"","BVSP.Open","BVSP.High","BVSP.Low","BVSP.Close","BVSP.Volume","BVSP.Adjusted"
"174",103036,104156,103036,103446,4877000,103446
"175",104389,104618,103733,104371,4962500,104371
"176",104371,104699,103275,103501,4039400,103501
"177",103496,104005,102782,103680,6038700,103680
"178",103680,104619,103079,104617,4574900,104617
"179",104616,104762,103684,104532,3882100,104532
"180",104555,106001,104286,104339,4915800,104339
"181",104339,105045,103914,104817,6769100,104817
"182",104817,104817,104020,104638,6769100,104638
"183",104638,104893,103504,103876,3972200,103876
"184",103857,104481,103034,104481,4117500,104481
"185",104485,105342,104337,105319,4138700,105319
"186",105319,105633,104506,105078,3471200,105078
"187",105077,105178,104638,104745,3895800,104745
"188",104745,105121,103837,104053,4095700,104053
"189",104049,104049,100944,101031,5066200,101031
"190",101031,101560,99826,101516,4665600,101516
"191",101516,102580,101057,102551,4649400,102551
"192",102546,102546,100542,100573,3938300,100573
"193",100565,101296,99868,99981,4342700,99981
"194",100005,101567,100005,101249,3939000,101249
"195",101244,102483,101152,101817,4373100,101817
"196",101819,104381,101819,103832,4351800,103832
"197",103834,104305,103438,104302,2987900,104302
"198",104299,105048,104052,104490,4093400,104490
"199",104486,105462,103521,105423,4509400,105423
"200",105389,105891,104827,105016,4189000,105016
"201",105012,105464,104525,104729,4478100,104729
"202",104729,106027,104696,106022,3504900,106022
"203",107101,107382,107076,107381,5224900,107381
"204",107381,107959,107041,107544,4656200,107544
"205",107553,107744,106593,106986,5619200,106986
"206",106990,108083,106990,107364,5398900,107364
"207",107366,108393,107362,108187,3967200,108187
"208",108189,108195,107313,107556,4313200,107556
"209",107557,108408,106622,108408,5450600,108408
"210",108403,108403,106356,107220,5376000,107220
"211",107221,108496,107220,108196,5466300,108196
"212",108196,109352,108196,108601,5182200,108601
"213",108779,109343,108253,108451,5657600,108451
"214",108719,109633,107446,108336,5505500,108336
"215",108360,109672,108360,109581,6075600,109581
"216",109572,109572,107127,107629,5419600,107629
"217",107622,108263,106814,108215,3928900,108215
"218",108368,108368,106232,106785,5219300,106785
"219",106751,106786,105261,105914,5339000,105914
"220",106052,106758,105820,106557,5364300,106557
"221",106566,107519,106282,106347,4919800,106347
"222",106269,106950,105367,105618,3610300,105618
"223",105866,107497,105864,107497,5819400,107497
"224",107497,108692,107157,108692,4796100,108692
"225",108692,108915,108080,108424,4512400,108424
"226",108424,108424,106414,107059,6904900,107059
"227",107059,107991,106312,107708,4418200,107708
"228",107708,108333,107148,108290,3666100,108290
"229",108283,108708,107759,108233,4186600,108233
"230",108246,109279,108245,109061,4708000,109061
"231",108931,109198,108190,108956,5223100,108956
"232",108962,110301,108962,110301,4889500,110301
"233",110297,111073,110008,110622,4399100,110622
"234",110623,111430,110623,111126,4968100,111126
"235",111125,111453,110870,110977,4991500,110977
"236",110973,111184,110133,110672,4758800,110672
"237",110672,111227,110530,110964,5146100,110964
"238",110963,112445,110963,112200,5682000,112200
"239",112205,112829,111780,112565,7712100,112565
"240",112565,113197,111896,111896,6078300,111896
"241",111897,112695,111897,112616,5352500,112616
"242",112618,114339,112300,114315,7940900,114315
